"X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
154,"Angola",614,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-10266566180,-3084605245,-630241494.9,7405537615,5139440070,873133751.7
160,"Angola",614,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",-902693588.3,10772685040,-317671864.7,-83097912.76,-1897360698,-1066592705
161,"Angola",614,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",687050548,-11085693029,61022412.82,285047949.8,1680315289,911988606.7
163,"Angola",614,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",25297552.43,32634214.49,23111939.08,27902711.24,31837859.25,8531917.53
165,"Angola",614,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",4058035115,3109728471,3108468021,3320012689,3125074989,2043961830
168,"Angola",614,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-10266566180,-3084605245,-630241494.9,7405537615,5139440070,873133751.7
171,"Angola",614,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-3059154773,370006780.6,-5006997607,-947719437.9,966869765,-2818509713
181,"Anguilla",312,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",22595987.78,21816808.39,20259715.02,31176941.33,30545527.47,15490076.87
188,"Anguilla",312,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",12441186.12,15274775.54,16446361.42,12225257.59,12824980.79,7208553.414
192,"Anguilla",312,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",-10145125.04,-27995253.4,-5861297.252,13004923.43,-5764384.815,-5961359.122
199,"Anguilla",312,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",171506419.4,171089641.7,224738106.7,149571723.2,209194179.4,73286293.14
200,"Anguilla",312,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",49596869.11,543622973.8,163359250.9,-98651157.91,-403477299.6,-82291167.73
202,"Anguilla",312,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-98202195.36,-80628265.8,-8395476.874,-217275376.7,-164061423.9,-81803098.5
203,"Anguilla",312,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",859194.4374,7374480.741,20848667.41,-10855370.37,-6804074.074,-5899259.259
205,"Anguilla",312,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-98202195.36,-80628265.8,-8395476.874,-217275376.7,-164061423.9,-81803098.5
208,"Anguilla",312,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",260983456.5,247092951.9,237837836,350375397.1,337427812.8,187449708.9
213,"Antigua and Barbuda",311,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",10267838.49,-35229392.71,-2340436.17,13960568.52,-5518715.1,27796658.21
214,"Antigua and Barbuda",311,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",76507264.8,-7533564.15,-84442756.06,-210361116,-89437564.25,-191144005.4
215,"Antigua and Barbuda",311,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",76507264.8,-7533564.15,-84442756.06,-210361116,-89437564.25,-191144005.4
216,"Antigua and Barbuda",311,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",58667850.84,-25613767.6,-16456524.26,15024336.38,-49611458.48,-57328230.78
218,"Antigua and Barbuda",311,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",1016366368,1043082266,988693922.5,1037965892,1194092316,591276100.6
219,"Antigua and Barbuda",311,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",132143366.6,135178548.5,124878347.7,126200355.8,138100974.1,35897190.88
220,"Antigua and Barbuda",311,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",88054699.37,90578901.76,92929399.6,109103861,109918616.2,61039864.04
227,"Antigua and Barbuda",311,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",853391541.4,923580934.6,970767344.5,1132905851,1180428569,739746512.6
233,"Antigua and Barbuda",311,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-22602585.71,33841542.89,437897.2815,25407641.32,51590801.11,-29700361.91
244,"Argentina",213,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-9474698295,3065190373,-7641974415,-41051255759,-11898962921,3942475674
245,"Argentina",213,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",9160025407,-2539180609,7738745879,41086275478,11605018405,-3846243886
247,"Argentina",213,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",76622786929,75420138819,89310577214,86821661280,66573932489,52342831895
251,"Argentina",213,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",70022565843,71384640575,74168075514,77143165816,79964482529,64437247306
254,"Argentina",213,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-4905102921,14324709801,14532078459,11264436469,-21367303426,-6912917525
265,"Argentina",213,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",2329777788,2022379929,1926821958,1935962614,1920954297,1250221586
266,"Argentina",213,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",4484853102,4560994549,5178759701,4911622609,3890376977,2113563619
269,"Argentina",213,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-17570055968,-14738971940,-30978306468,-26972530933,-3208532281,2853124479
270,"Argentina",213,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-17570055968,-14738971940,-30978306468,-26972530933,-3208532281,2853124479
275,"Armenia, Rep. of",911,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",303313483.6,517356329.7,412610303.5,150937186.6,454856078.6,577992617.6
278,"Armenia, Rep. of",911,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",360993766.9,367751616.3,433791351.9,555734207.1,648401952.8,413946101.4
280,"Armenia, Rep. of",911,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-221350377.1,-62604636.6,-580774525.1,-71069829.72,-423887936.5,-709884350.9
283,"Armenia, Rep. of",911,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",163501698.9,188695700.1,231566845.1,256331464.6,275403180.8,232391841.7
285,"Armenia, Rep. of",911,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",332514305.4,454587352.7,49782102.86,-36440762.26,591963095.5,-277590501.1
290,"Armenia, Rep. of",911,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-215634201.4,-66011589.41,-89548549.74,-825471759.8,-894803181.6,-325971769
292,"Armenia, Rep. of",911,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",3137698940,3564513097,4410411870,4927027295,5794425537,3818190455
299,"Armenia, Rep. of",911,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",4419193791,4470358659,5653962634,6679769678,7603409296,5082296668
302,"Armenia, Rep. of",911,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-215634201.4,-66011589.41,-89548549.74,-825471759.8,-894803181.6,-325971769
307,"Aruba, Kingdom of the Netherlands",314,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",2132591430,2010737226,2038205648,2269860628,2240027486,1644444118
313,"Aruba, Kingdom of the Netherlands",314,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",115153473.2,114974631.3,130498998.6,138836497,124086706.7,51764068.28
315,"Aruba, Kingdom of the Netherlands",314,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",114977756.4,106971136.4,111645331.7,137469704,138551384.3,96020537.81
321,"Aruba, Kingdom of the Netherlands",314,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",110690101.7,135986923.9,29520988.72,-14836321.68,86321321.05,-304252750.9
327,"Aruba, Kingdom of the Netherlands",314,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",110690101.7,135986923.9,29520988.72,-14836321.68,86321321.05,-304252750.9
333,"Aruba, Kingdom of the Netherlands",314,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",2437130636,2344277793,2305572784,2557265559,2561691720,1443955668
341,"Aruba, Kingdom of the Netherlands",314,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-39260050.28,-42751063.56,16533728.86,-20322867.27,-127836451.4,-241220336
345,"Aruba, Kingdom of the Netherlands",314,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",40670391.06,21422487.13,-22367232.33,1271900.825,148514630.6,252452763.9
353,"Aruba, Kingdom of the Netherlands",314,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",145586592.2,97986033.52,-28810614.53,71667597.77,-36468156.42,188374860.3
363,"Australia",193,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",13351486437,12232520792,12633638821,13803823630,13034925239,9227799014
364,"Australia",193,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",5078180091,5386144003,5820284847,5643754054,5516841793,3206435655
367,"Australia",193,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",2.43106e+11,2.509e+11,2.96577e+11,3.27131e+11,3.42185e+11,3.00713e+11
368,"Australia",193,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",2.70881e+11,2.61288e+11,2.89337e+11,3.11529e+11,2.94718e+11,2.5026e+11
371,"Australia",193,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-57415186711,-41792743212,-35961930356,-31968829620,5623891762,31789555954
377,"Australia",193,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",17252075723,751817330.4,-4620644944,196530752.5,14564526497,-6738692840
378,"Australia",193,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",36125751891,-11009172078,-9704060487,685351434.5,-9689384690,2305284216
384,"Australia",193,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-57415194263,-41792780533,-35961898791,-31967325605,5623891762,31790211693
387,"Australia",193,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-2345772740,7854443321,8735418216,-11082782427,3025659846,-16749745109
395,"Austria",122,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-6575603873,-10535997916,-1877265645,2510530502,5181367534,2654096525
400,"Austria",122,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",2.02399e+11,2.07007e+11,2.25372e+11,2.52205e+11,2.47738e+11,2.24734e+11
401,"Austria",122,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",1.88489e+11,1.92378e+11,2.12902e+11,2.38933e+11,2.31992e+11,2.11736e+11
403,"Austria",122,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",4437593992,3366679233,195689686.7,3843246405,-3471155748,-1808019643
407,"Austria",122,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",14206149189,14288688652,15847805843,17241923195,17971910671,15901996446
408,"Austria",122,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",14581221495,14776228557,16490083893,18233815933,18463235103,16220083391
414,"Austria",122,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",4645792949,10330946344,5329251561,1719643115,10558103626,12416383793
415,"Austria",122,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-363231367.5,534419743.3,-3497680858,2620758658,-206071045.8,1739967694
420,"Austria",122,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",4643566028,10334266966,5329361372,1717310212,10559227326,12418586619
427,"Azerbaijan, Rep. of",912,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-266379000,-1403535000,1784928000,6052500600,4346266019,-234943000
431,"Azerbaijan, Rep. of",912,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-266379000,-1403535000,1784928000,6052500600,4346266019,-234943000
438,"Azerbaijan, Rep. of",912,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-8430674229,-992410843.6,1294781737,318675623.9,642373814.3,75627855
443,"Azerbaijan, Rep. of",912,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",1346831000,-9349000,661997000,-63178000,-546868000,-652064000
444,"Azerbaijan, Rep. of",912,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-1200050000,2224000,-695837000,209061000,558731000,344930000
445,"Azerbaijan, Rep. of",912,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",1518285000,1095425000,971396000,1223822000,1107970260,1644680000
446,"Azerbaijan, Rep. of",912,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",18446480000,16526981000,17105068000,17705199000,17712459100,15537819000
452,"Azerbaijan, Rep. of",912,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",20030038000,17578801000,19840498000,25484473000,23629741260,15208753000
453,"Azerbaijan, Rep. of",912,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",1009650000,919389000,1048362000,1520870000,1458446100,1301987000
580,"Bangladesh",513,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",34969256094,37662675682,39170435004,44128038982,44961040130,38475972660
581,"Bangladesh",513,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",45575754269,48167978224,56764922840,65585208867,64233645991,56776357566
584,"Bangladesh",513,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-1918901602,-2780322000,-5909377313,-7549554140,-5833156004,-7465694006
586,"Bangladesh",513,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",3021824582,1358770732,-5692036912,-6831007539,-2720538656,1406228336
591,"Bangladesh",513,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",1918901602,2780322000,5909377313,7549554140,5833156004,7512698538
594,"Bangladesh",513,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",5773877083,5405106106,5747729492,5653150385,5685843196,5066458723
599,"Bangladesh",513,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",5626581230,5076013421,615390816.4,-1109126382,521619694.5,9885137701
600,"Bangladesh",513,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",401361515.2,417987433.8,488604340.2,655622568.2,621630551.9,685375451
601,"Bangladesh",513,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",3021824582,1358770732,-5692036912,-6831007539,-2720538656,1406228336
641,"Belarus, Rep. of",913,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",32854100000,29983700000,36595400000,42267800000,41974900000,37183200000
642,"Belarus, Rep. of",913,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",32721700000,29992500000,36495300000,41338700000,42377900000,35235600000
645,"Belarus, Rep. of",913,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-1826500000,-1605300000,-950900000,43300000,-1210900000,-171100000
648,"Belarus, Rep. of",913,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",1578200000,-823900000,81800000,1079200000,369600000,94500000
649,"Belarus, Rep. of",913,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-1.456e+09,840100000,-7.5e+07,-4.97e+08,-302300000,4600000
650,"Belarus, Rep. of",913,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",1269300000,1336900000,1599100000,1.832e+09,1945600000,1763600000
652,"Belarus, Rep. of",913,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",2984500000,2988400000,3520200000,3923400000,4018600000,3677900000
665,"Belarus, Rep. of",913,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-620093160.9,482584272.1,2063704500,-106669965.2,1800837886,-2679097906
667,"Belarus, Rep. of",913,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-1826500000,-1605300000,-950900000,43300000,-1210900000,-171100000
668,"Belgium",124,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",6426384697,3122421245,4274544367,-4323444077,1272168278,5408530574
669,"Belgium",124,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-1074868079,-1011795232,1232746048,859775276.8,55223619.26,1029053095
682,"Belgium",124,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",6426384697,3123462507,4273329647,-4325776980,1269920565,5410959881
684,"Belgium",124,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",1819539013,14538613275,-24602287764,3650087007,7753086265,3777336585
685,"Belgium",124,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-3020537324,-14077571479,24083236186,-3730607161,-7454112179,-7077047819
692,"Belgium",124,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",22695906060,22291016757,24418217025,26237923240,25457314342,24972953551
693,"Belgium",124,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",23277586131,24204875589,27001100641,28457563657,26324963424,24161459603
695,"Belgium",124,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",3.59684e+11,3.77941e+11,4.18158e+11,4.51405e+11,4.41566e+11,4.17222e+11
696,"Belgium",124,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",3.53183e+11,3.72254e+11,4.12898e+11,4.53057e+11,4.38221e+11,4.08343e+11
700,"Belize",339,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",70068176.16,67619165.84,67541021,66496851.17,62354488.54,64252614.82
701,"Belize",339,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",25021970.61,27977237.39,29366237.39,25181227.39,28679227.39,28461237.39
704,"Belize",339,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-103672092.7,-59240683.65,-66700187,-16921256.29,-17526962.53,68724695.99
710,"Belize",339,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",1033644192,968526944.2,1030908165,1071298552,1102475875,714623553.5
711,"Belize",339,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",1182622393,1131810777,1087886311,1155093354,1203192599,901818661.9
712,"Belize",339,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-166142925.3,-130480303.4,-148867811.6,-126782113,-174306141.6,-113646287.2
716,"Belize",339,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-17741796.24,-436989.2988,-55142859.02,-8920565.064,-19158325.25,-130646559
720,"Belize",339,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-166142925.3,-130480303.4,-148867811.6,-126782113,-174306141.6,-113646287.2
723,"Belize",339,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",17741796.24,436989.2988,55142859.02,8920565.064,19158325.25,130646559
730,"Benin",638,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-578194919.3,-50179409.79,-521202414.7,-569559199.1,-14148354.79,-996202942.1
737,"Benin",638,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",583967640,-33992590.5,622268337.1,520270848.1,262481485.5,871657671.7
745,"Benin",638,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",2736492200,3189693705,3314328545,3847619384,3584933958,3506194080
746,"Benin",638,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",3493292685,3715712760,4017845451,4668665793,4306601255,3941918100
748,"Benin",638,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-553835962.8,-216597754.5,-334898371.8,-452321202.5,-377104946,-98964198.83
749,"Benin",638,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",71186690.34,-574499642.2,471881142.4,258045586.2,50230251.8,466736291.4
751,"Benin",638,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-553836132,-216597754.5,-334898371.8,-452321202.5,-377104946,-272730082.7
753,"Benin",638,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",143363705.9,142446338.4,143669439.9,187377574.2,169290711.2,170295957.1
754,"Benin",638,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",352481016,547205995.5,540393907.8,527225433.8,468344737.4,411823166.6
761,"Bermuda",319,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",6547427,10028296,21109089.2,-9706422,10216432,17525253
762,"Bermuda",319,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",942896167.1,845986384.6,940200101.7,888947064.5,838701046.1,853849630.4
