"Index"	"Country"	"CountryCode"	"Indicator"	"IndicatorCode"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"
1	"Afghanistan, Islamic Rep. of"	"512"	"Capital Account, Total, Net, US Dollars"	"BK_BP6_USD"	1318093914.75365	1292837233.60122	1305692894.71051	1314405726.01525	1193939877.14338	753119494.77357
2	"Afghanistan, Islamic Rep. of"	"512"	"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"	"BACK_BP6_USD"	-2874722508.07455	-1415625701.54775	-2249205047.78014	-2582431877.91868	-2597995378.89664	-2383613858.43404
3	"Afghanistan, Islamic Rep. of"	"512"	"Capital Account, Total, Credit, US Dollars"	"BK_CD_BP6_USD"	1318093914.75365	1292837233.60122	1305692894.71051	1314405726.01525	1193939877.14338	753119494.77357
4	"Afghanistan, Islamic Rep. of"	"512"	"Capital Account, Total, Debit, US Dollars"	"BK_DB_BP6_USD"	0	0	0	0	0	0
5	"Afghanistan, Islamic Rep. of"	"512"	"Current Account, Goods and Services, Credit, US Dollars"	"BXGS_BP6_USD"	1417300546.13462	1136013206.34947	1152896049.81817	1609472020.80143	1515758748.64214	1476305961.364
6	"Afghanistan, Islamic Rep. of"	"512"	"Current Account, Goods and Services, Debit, US Dollars"	"BMGS_BP6_USD"	8462264707.36776	7327477073.75444	7956456168.29306	7987638963.17731	7370819804.67106	6982852962.73388
7	"Afghanistan, Islamic Rep. of"	"512"	"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars"	"BFPAE_BP6_USD"	4022938.20680073	2788013.75045902	4480840.66378444	4326500.34853746	1570901.49674015	-2623568.43
8	"Afghanistan, Islamic Rep. of"	"512"	"Capital Account, Capital Transfers, Net, US Dollars"	"BKT_BP6_USD"	1318093914.75365	1292837233.60122	1305692894.71051	1314405726.01525	1193939877.14338	753119494.77357
9	"Afghanistan, Islamic Rep. of"	"512"	"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars"	"BFPAD_BP6_USD"	76656375.8530517	96681747.7123269	-34052492.5320533	138377700.135669	-16194397.1231386	63243241.2445809
10	"Afghanistan, Islamic Rep. of"	"512"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars"	"BFOLNLO_BP6_USD"	-2e+07	-3e+06	0	1e+06	-2476000	-3e+06
11	"Afghanistan, Islamic Rep. of"	"512"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars"	"BFOLNL_BP6_USD"	-40648338.9445025	-18156698.4508246	-15119965.4358332	-28769466.4961622	28978501.9918342	319651287.948835
12	"Afghanistan, Islamic Rep. of"	"512"	"Financial Account, Other Investment, Loans, US Dollars"	"BFOLN_BP6_USD"	43071212.3837412	11571238.4660041	19297003.9253343	26362957.9263236	-26628757.5151627	-321215841.003952
13	"Afghanistan, Islamic Rep. of"	"512"	"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars"	"BMIPID_BP6_USD"	67475.3332179332	1221826.32870929	1165905.5336527	48719907.5452861	4439420.95937691	7294475.0386265
14	"Afghanistan, Islamic Rep. of"	"512"	"Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars"	"BFOLNA_BP6_USD"	2422873.43923868	-6585459.98482048	4177038.48950111	-2406508.56983852	2349744.47667145	-1564553.0551179
15	"Afghanistan, Islamic Rep. of"	"512"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars"	"BFOLNLG_L_BP6_USD"	-5305035.2774948	-6696615.10765553	-6860407.65081786	-23310171.0457318	9644556.16773598	-17849827.8013211
16	"Afghanistan, Islamic Rep. of"	"512"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars"	"BFOLNLG_BP6_USD"	-20167312.2160222	-14839097.4631949	-19836271.9927478	-29165832.4568365	29487401.3581358	323210731.301814
17	"Afghanistan, Islamic Rep. of"	"512"	"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars"	"BFPA_BP6_USD"	80679314.0598525	99469761.4627858	-29571651.8682689	142704200.484206	-14623495.6263984	60619672.8145809
18	"Afghanistan, Islamic Rep. of"	"512"	"Current Account, Goods and Services, Services, Transport, Credit, US Dollars"	"BXSTR_BP6_USD"	94543731.8775527	100185732.828532	102985397.114446	181145490.614502	106551002.65022	86573383.2826809
19	"Afghanistan, Islamic Rep. of"	"512"	"Current Account, Goods and Services, Services, Transport, Debit, US Dollars"	"BMSTR_BP6_USD"	893795809.033712	899709720.221607	990501554.281875	962257215.180545	921789447.116951	926022951.365477
20	"Afghanistan, Islamic Rep. of"	"512"	"Capital Account, Capital Transfers, Credit, US Dollars"	"BKT_CD_BP6_USD"	1318093914.75365	1292837233.60122	1305692894.71051	1314405726.01525	1193939877.14338	753119494.77357
21	"Afghanistan, Islamic Rep. of"	"512"	"Supplementary Items, Reserve Assets (with Fund Record), US Dollars"	"BFRAFR_BP6_USD"	-279266964.953196	642608936.420395	592431686.696043	203987094.781864	100660162.345748	830216423.432777
22	"Afghanistan, Islamic Rep. of"	"512"	"Supplementary Items, Total Current + Capital Account, US Dollars"	"BTCC_BP6_USD"	-2874722508.07455	-1415625701.54775	-2249205047.78013	-2582431877.91869	-2597995378.89665	-2383613858.43404
23	"Afghanistan, Islamic Rep. of"	"512"	"Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars"	"BFRAIMFFR_BP6_USD"	268572.246556744	0	0	0	0	0
24	"Afghanistan, Islamic Rep. of"	"512"	"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars"	"BFDAEO_BP6_USD"	2163053.08831476	14006046.5507614	11260735.7647647	38803701.6430421	26321046.5766518	37228478.0954418
25	"Afghanistan, Islamic Rep. of"	"512"	"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars"	"BXIPID_BP6_USD"	0	0	0	957389.384806447	3042028.08079872	5182.18395460853
26	"Afghanistan, Islamic Rep. of"	"512"	"Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities, US Dollars"	"BFPLD_BP6_USD"	0	0	0	0	0	0
27	"Afghanistan, Islamic Rep. of"	"512"	"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars"	"BFPLXF_BP6_USD"	0	0	0	0	0	0
28	"Afghanistan, Islamic Rep. of"	"512"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars"	"BFOLNLO_L_BP6_USD"	0	0	0	0	0	0
29	"Afghanistan, Islamic Rep. of"	"512"	"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars"	"BFDLD_BP6_USD"	0	0	0	0	0	0
30	"Afghanistan, Islamic Rep. of"	"512"	"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars"	"BFDA_BP6_USD"	2163053.08831476	14006046.5507614	11260735.7647647	38803701.6430421	26321046.5766518	37228478.0954418
31	"Afghanistan, Islamic Rep. of"	"512"	"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars"	"BFDAE_BP6_USD"	2163053.08831476	14006046.5507614	11260735.7647647	38803701.6430421	26321046.5766518	37228478.0954418
32	"Albania"	"914"	"Capital Account, Total, Net, US Dollars"	"BK_BP6_USD"	139481001.946332	72077234.2545065	139366726.938532	121894012.159341	85062453.3468605	165700783.639108
33	"Albania"	"914"	"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars"	"BFPA_BP6_USD"	-200681008.112941	224856384.81297	-99247983.0876608	207124618.370241	80109748.1212104	284359850.659222
34	"Albania"	"914"	"Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities, US Dollars"	"BFPLD_BP6_USD"	44600209.88164	-5891594.12360903	13158365.6261255	290891264.277931	-81594912.1561139	349206064.180846
35	"Albania"	"914"	"Capital Account, Capital Transfers, Credit, US Dollars"	"BKT_CD_BP6_USD"	251523832.087737	214450676.019101	298757212.601133	284896491.937363	273616128.971858	340412075.187363
36	"Albania"	"914"	"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars"	"BFDAEO_BP6_USD"	22864667.9933005	30853462.7566123	2610920.84597587	64365466.4111722	100885605.576027	62872159.7143582
37	"Albania"	"914"	"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars"	"BFPAE_BP6_USD"	0	3587173.03358101	6034623.56263742	59574.523809525	-5805261.71428562	9351284.8484848
38	"Albania"	"914"	"Capital Account, Capital Transfers, Net, US Dollars"	"BKT_BP6_USD"	139481001.946332	72077234.2545065	139366726.938532	121711386.159341	84136164.1298691	165073589.009175
39	"Albania"	"914"	"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars"	"BFDAE_BP6_USD"	35751061.3319749	65493535.5169587	35852979.0485281	70778603.2318681	117089601.034631	81441278.1836697
40	"Albania"	"914"	"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars"	"BFDA_BP6_USD"	79310556.1473249	7038767.39963294	-106176134.436441	-4513335.95696013	39976866.3476733	50098202.0405848
41	"Albania"	"914"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars"	"BFOLNL_BP6_USD"	393039352.817231	132416398.486356	225051920.634949	39023087.7024773	-29527984.790313	196136046.220478
42	"Albania"	"914"	"Financial Account, Other Investment, Loans, US Dollars"	"BFOLN_BP6_USD"	-271208895.554835	84514749.5736046	-283942134.06983	-273248444.732602	-125798201.000541	-145386174.625134
43	"Albania"	"914"	"Current Account, Goods and Services, Credit, US Dollars"	"BXGS_BP6_USD"	3104045580.12051	3439878229.62969	4143794703.49414	4784712029.25558	4822385625.67256	3460812843.45375
44	"Albania"	"914"	"Current Account, Goods and Services, Debit, US Dollars"	"BMGS_BP6_USD"	5070259616.19859	5441410775.47024	6122452299.7936	6854286781.72701	6925814672.05674	5671285653.1709
45	"Albania"	"914"	"Supplementary Items, Total Current + Capital Account, US Dollars"	"BTCC_BP6_USD"	-840333044.744464	-828274639.95956	-842871953.913502	-894368183.921613	-1133782336.59469	-1148870305.54196
46	"Albania"	"914"	"Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars"	"BFOLNA_BP6_USD"	121819195.833824	216942440.413807	-58890213.4348812	-234213064.887268	-155337305.215096	50726928.4816957
47	"Albania"	"914"	"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars"	"BFPLXF_BP6_USD"	53587033.7373649	-20644025.2545829	1463206.26004995	287795433.715935	-74605536.034902	341161078.311483
48	"Albania"	"914"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars"	"BFOLNLG_L_BP6_USD"	336659381.36849	2594764.3827547	225865230.704217	-34934293.9225292	-33894778.5367961	-44058297.448969
49	"Albania"	"914"	"Current Account, Goods and Services, Services, Transport, Credit, US Dollars"	"BXSTR_BP6_USD"	174953675.139171	202426984.059313	268306968.242644	305754698.028388	272422604.93912	203362731.996194
50	"Albania"	"914"	"Current Account, Goods and Services, Services, Transport, Debit, US Dollars"	"BMSTR_BP6_USD"	191118745.392381	234311289.60345	224458295.824033	252377847.794322	250193796.253785	205847548.154061
51	"Albania"	"914"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars"	"BFOLNLO_L_BP6_USD"	-13780480.2647291	-32956971.9120295	-87877385.697377	91419177.622531	14378453.1063312	110944449.13622
52	"Albania"	"914"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars"	"BFOLNLO_BP6_USD"	-13780480.2647291	-32956971.9120295	-87877385.697377	92616536.4263772	14367043.891775	110932974.948029
53	"Albania"	"914"	"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"	"BACK_BP6_USD"	-840332836.025571	-828308264.889164	-842859455.285888	-894344262.763371	-1133793573.59469	-1148904937.76167
54	"Albania"	"914"	"Capital Account, Total, Debit, US Dollars"	"BK_DB_BP6_USD"	112042830.141404	142384461.732337	159378739.585678	163185105.778022	189896564.623915	175580046.781933
55	"Albania"	"914"	"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars"	"BFDLD_BP6_USD"	112262415.035166	-3418540.55006894	-49745631.0545551	-66488396.325183	-50558649.0303029	-47417748.0977616
56	"Albania"	"914"	"Capital Account, Total, Credit, US Dollars"	"BK_CD_BP6_USD"	251523832.087737	214450676.019101	298757212.601133	285079117.937363	274947946.908276	341258789.682634
57	"Albania"	"914"	"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars"	"BXIPID_BP6_USD"	17762635.0428928	39381652.8239649	36354288.5003543	9449845.20970698	17560576.4507574	19806361.3050208
58	"Albania"	"914"	"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars"	"BMIPID_BP6_USD"	169380736.124001	146802211.37893	306681018.395426	343948148.404212	518409739.692635	460973409.981022
59	"Albania"	"914"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars"	"BFOLNLG_BP6_USD"	443261078.536694	162867753.126628	303563462.181138	-40367417.4225292	-53428096.4818717	109718842.504965
60	"Albania"	"914"	"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars"	"BFPAD_BP6_USD"	-200681008.112941	221280378.067268	-105270860.573375	207065043.846431	85926246.835496	275008565.810737
61	"Albania"	"914"	"Supplementary Items, Reserve Assets (with Fund Record), US Dollars"	"BFRAFR_BP6_USD"	677430653.481054	48006574.8243134	186039517.005445	419138872.683826	-88102473.4100683	705493615.900286
62	"Albania"	"914"	"Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars"	"BFRAIMFFR_BP6_USD"	0	27616613.860401	0	0	0	0
63	"Algeria"	"612"	"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars"	"BFDLD_BP6_USD"	-141302587.337253	-11567771.5255319	-771522.252096579	25772974.8496407	17273854.3308071	75662556.1806286
64	"Algeria"	"612"	"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars"	"BFDAE_BP6_USD"	106656783.779633	52183662.3206993	20149043.8123602	861188400.399319	64794342.7476206	39039435.9138654
65	"Algeria"	"612"	"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars"	"BFDA_BP6_USD"	101122294.423741	46540881.7236583	-8566424.89000485	846211528.098013	31148435.4454615	14605376.0751949
66	"Algeria"	"612"	"Supplementary Items, Reserve Assets (with Fund Record), US Dollars"	"BFRAFR_BP6_USD"	-27347179851.0128	-26271624595.5192	-21754881841.5121	-15841502837.2375	-16983944438.685	-16503641824.6507
67	"Algeria"	"612"	"Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars"	"BFRAIMFFR_BP6_USD"	-105263633.964614	-285151115.118491	14151464.3401049	70982995.1466171	199623907.617659	145703992.843011
68	"Algeria"	"612"	"Supplementary Items, Total Current + Capital Account, US Dollars"	"BTCC_BP6_USD"	-27037461501.8531	-26203434864.1884	-22066800235.4043	-16905486277.9375	-16954736634.9108	-18228376625.5621
69	"Algeria"	"612"	"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars"	"BFDAEO_BP6_USD"	106656783.779633	52183662.3206993	20149043.8123602	861188400.399319	64794342.7476206	39039435.9138654
70	"Algeria"	"612"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars"	"BFOLNLG_BP6_USD"	-48417536.3376328	759107773.891695	-37081330.9541837	-34644871.4152667	-32564443.7479777	-23825519.1480943
71	"Algeria"	"612"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars"	"BFOLNLO_L_BP6_USD"	-228539396.131527	-418921628.887138	-87116811.5796949	-69886247.1670232	-70958534.564874	-63943521.498186
72	"Algeria"	"612"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars"	"BFOLNLG_L_BP6_USD"	-48417536.3376328	759107773.891695	-37081330.9541837	-34644871.4152667	-32564443.7479777	-23825519.1480943
73	"Algeria"	"612"	"Financial Account, Other Investment, Loans, US Dollars"	"BFOLN_BP6_USD"	-54127448.9074686	-612980691.519314	-161094676.515973	-149957556.8014	-1094479037.40013	-631161707.061116
74	"Algeria"	"612"	"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"	"BACK_BP6_USD"	-27037461501.853	-26203434864.1884	-22066800235.4042	-16905486277.9376	-16954736634.9108	-18228363586.9246
75	"Algeria"	"612"	"Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars"	"BFOLNA_BP6_USD"	-331496306.618408	-274807125.646088	-286029147.800314	-253880761.674915	-92581359.6016978	-18053296.498245
76	"Algeria"	"612"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars"	"BFOLNLO_BP6_USD"	-228539396.131527	-418921628.887138	-87116811.5796949	-69886247.1670232	-70958534.564874	-63943521.498186
77	"Algeria"	"612"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars"	"BFOLNL_BP6_USD"	-277368857.710939	338173565.873226	-124934471.284341	-103923204.873516	1001897677.79844	613108410.562871
78	"Algeria"	"612"	"Capital Account, Total, Credit, US Dollars"	"BK_CD_BP6_USD"	454472.297123639	922413.117255952	1123579.07306783	434206.283042403	267726.504105967	1364477.93905471
79	"Algeria"	"612"	"Capital Account, Total, Debit, US Dollars"	"BK_DB_BP6_USD"	280820.719818746	310940.703441323	405790.514704093	277963.430214197	710332.62693514	42690768.7299735
80	"Algeria"	"612"	"Capital Account, Total, Net, US Dollars"	"BK_BP6_USD"	173651.577304893	611472.413814629	717788.558363734	156242.852828206	-442606.122829173	-41326290.7909188
81	"Algeria"	"612"	"Current Account, Goods and Services, Credit, US Dollars"	"BXGS_BP6_USD"	37905326615.2648	32746852186.7272	37680842571.7904	44387318895.8475	38551346600.0539	24901914032.5803
82	"Algeria"	"612"	"Current Account, Goods and Services, Debit, US Dollars"	"BMGS_BP6_USD"	63290234977.4492	60196342367.2716	60083478506.2315	60088713450.9803	54258989925.2204	42347048720.3905
83	"Algeria"	"612"	"Capital Account, Capital Transfers, Credit, US Dollars"	"BKT_CD_BP6_USD"	454472.297123639	917740.587831562	1123579.07306783	434206.283042403	140826.060432988	314133.354199218
84	"Algeria"	"612"	"Capital Account, Capital Transfers, Net, US Dollars"	"BKT_BP6_USD"	451548.682091231	917740.587831562	1122830.74104297	434206.283042403	139846.798645491	314133.354199218
85	"Algeria"	"612"	"Current Account, Goods and Services, Services, Transport, Credit, US Dollars"	"BXSTR_BP6_USD"	680634056.963759	672782884.811981	708954618.460222	715623455.7547	646654168.81636	537711115.361422
86	"Algeria"	"612"	"Current Account, Goods and Services, Services, Transport, Debit, US Dollars"	"BMSTR_BP6_USD"	3690355800.56474	3613016017.87053	3474445354.65201	3612430380.74402	3430500755.99846	2580321198.03657
87	"Algeria"	"612"	"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars"	"BXIPID_BP6_USD"	72680213.5934218	384745306.372482	712244160.283447	36769280.5364521	121306591.489809	136580962.329775
88	"Algeria"	"612"	"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars"	"BMIPID_BP6_USD"	6478575655.66993	3970671458.1273	4819901399.03365	5689406512.37611	5214533911.03061	3763432274.10175
149	"Angola"	"614"	"Capital Account, Total, Net, US Dollars"	"BK_BP6_USD"	6275722.93524801	590218.3	2625653	2931096	2045190	1215920.42071878
150	"Angola"	"614"	"Current Account, Goods and Services, Credit, US Dollars"	"BXGS_BP6_USD"	34437293543.5047	28299767212.9401	35598035305.5607	41388891319.4605	35180142878.3236	21004445128.6022
151	"Angola"	"614"	"Current Account, Goods and Services, Debit, US Dollars"	"BMGS_BP6_USD"	37968764912.5352	25657029920.0315	28256537255.8004	25887355607.4086	22299328651.1375	15145687472.4356
152	"Angola"	"614"	"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars"	"BFPA_BP6_USD"	1046281983.11005	-16634132.7257066	9124489.70549423	-152764551.604035	1324095283.81017	-1640362370.62915
153	"Angola"	"614"	"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars"	"BMIPID_BP6_USD"	4291998806.1316	3027846237.76314	4883342721.44	5097094752.86	4695190551.73	2188522434.27
154	"Angola"	"614"	"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"	"BACK_BP6_USD"	-10266566179.6781	-3084605244.91077	-630241494.90334	7405537615.27953	5139440070.2235	873133751.720642
155	"Angola"	"614"	"Capital Account, Total, Credit, US Dollars"	"BK_CD_BP6_USD"	6275722.93524801	590218.3	2625653	2931096	2045190	1198128.79071878
156	"Angola"	"614"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars"	"BFOLNLG_L_BP6_USD"	2303085792.87	11904006627.74	3653641384.34	-471663022.26	-1735633521.59	-976130965.340001
157	"Angola"	"614"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars"	"BFOLNLG_BP6_USD"	2303085792.87	11904006627.74	3653641384.34	522751827.740001	-1240588036.15	87984513.6599991
158	"Angola"	"614"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars"	"BFOLNLO_L_BP6_USD"	-2302153799.36	-3655711878.7	-4651084877.16	-508560185.88	-46245263.2600001	-655759116.27
159	"Angola"	"614"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars"	"BFOLNLO_BP6_USD"	-2302153799.36	-3655711878.7	-4651084877.16	-508560185.88	-46245263.2600001	-657172590.522659
160	"Angola"	"614"	"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars"	"BFOLNL_BP6_USD"	-902693588.27224	10772685039.8446	-317671864.651431	-83097912.7620873	-1897360697.59264	-1066592705.34782
161	"Angola"	"614"	"Financial Account, Other Investment, Loans, US Dollars"	"BFOLN_BP6_USD"	687050547.95958	-11085693029.1926	61022412.8183566	285047949.772558	1680315288.8888	911988606.740733
162	"Angola"	"614"	"Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities, US Dollars"	"BFPLD_BP6_USD"	1492500000	0	0	3.5e+09	3e+09	0
163	"Angola"	"614"	"Current Account, Goods and Services, Services, Transport, Credit, US Dollars"	"BXSTR_BP6_USD"	25297552.43	32634214.49	23111939.08	27902711.24	31837859.25	8531917.53
164	"Angola"	"614"	"Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars"	"BFOLNA_BP6_USD"	-215643040.31266	-313007989.347964	-256649451.833074	201950037.01047	-217045408.703845	-154604098.607094
165	"Angola"	"614"	"Current Account, Goods and Services, Services, Transport, Debit, US Dollars"	"BMSTR_BP6_USD"	4058035114.6194	3109728471.0367	3108468020.57475	3320012689.2895	3125074989.29851	2043961830.1863
166	"Angola"	"614"	"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars"	"BFDLD_BP6_USD"	5053751494.24188	-57911731.12	-104082247.539913	647837636.930243	640874747.969837	113356992.768311
