"","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
"5277",227374,"Spain",184,"Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",943761439.028726,793645961.416387,903806406.67848,1498055345.54945,1342940625.64933,1115775356.08816
"5278",227379,"Spain",184,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",54936229693.4423,10824890478.3111,62627334635.2708,18220366698.6813,20691244255.2759,44801375250.7846
"5279",227397,"Spain",184,"Capital Account, Total, Net, US Dollars","BK_BP6_USD",7698229848.51832,2672215722.46695,3261769269.92554,6719009455.86996,4705030094.42637,5969909482.62428
"5280",227434,"Spain",184,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars","BFPA_BP6_USD",89043730309.1109,41580313216.7986,96165213506.5183,67245412131.1722,37054445335.9307,104727436677.242
"5281",227445,"Spain",184,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",34106374472.8114,30756539367.2754,33537916204.9695,49025045432.4909,16363201080.6548,59924960013.5543
"5282",227481,"Spain",184,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",401953725854.835,417759276110.251,461906827976.141,499366966650.98,486632817457.57,393773697758.287
"5283",227487,"Spain",184,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",5615179588.19461,9272178186.02475,4276331601.89257,2561026728.47736,763524137.244403,-262497183.445269
"5284",227491,"Spain",184,"Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",-647790516.288169,266194276.645754,-122378415.504138,675686271.975564,90225936.1479384,646406173.254064
"5287",228312,"Sri Lanka",524,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars","BFPA_BP6_USD",22683.5153887069,-5016.10310261143,-85592.0818593837,0,0,0
"5288",228318,"Sri Lanka",524,"Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",46298529.11865,25269999.2003041,10930632.995098,14360304.2210472,23110883.153365,28060183.2340348
"5289",228320,"Sri Lanka",524,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars","BFOLNLO_L_BP6_USD",8602266.6401437,136252907.934385,210948041.094338,113838510.090297,-202595072.929868,96268732.4076849
"5290",228321,"Sri Lanka",524,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",469600240.683121,1287050418.72932,1223282710.05733,556953236.204963,-88826311.1079426,169436484.504817
"5291",228325,"Sri Lanka",524,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",22683.5153887069,-5016.10310261143,-85592.0818593837,0,0,0
"5292",228355,"Sri Lanka",524,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",2104700005.92297,2250146026.99292,2340169948.97299,2486290000,2339250000,1173900007.29825
"5293",228356,"Sri Lanka",524,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",1578650003.96961,1618145687.43972,1687896072.24123,1736540000,1709580000,1059460007.93845
"5294",228363,"Sri Lanka",524,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",469600240.683121,1287050418.72932,1223282710.05733,556953236.204963,-88826311.1079426,169436484.504817
"5295",228372,"Sri Lanka",524,"Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",70678529.11865,56409999.2003042,40190632.995098,41610304.2210473,50850883.1533651,51180183.2340347
"5296",228375,"Sri Lanka",524,"Capital Account, Total, Net, US Dollars","BK_BP6_USD",46298529.11865,25269999.2003041,10930632.995098,14360304.2210472,23110883.153365,28060183.2340348
"5297",228379,"Sri Lanka",524,"Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",24380000,31140000,29260000,27250000,27740000,23120000
"5298",228383,"Sri Lanka",524,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-1836475554.80679,-1717129716.02863,-2298064990.01187,-2784692761.3295,-1820289340.00745,-1054939023.04158
"5299",228430,"Sri Lanka",524,"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",686444155.28301,992991050.576115,1771493852.18195,129138167.099544,2313081132.68257,-2382892630.09072
"5300",228460,"Sri Lanka",524,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",240747309.114711,187410829.646794,840417850.468714,1151288899.95247,373952479.663087,222742000
"5301",228466,"Sri Lanka",524,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",8602266.6401437,136252907.934385,210948041.094338,113838510.090297,-202595072.929868,96268732.4076849
"5302",228477,"Sri Lanka",524,"Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",70678529.11865,56409999.2003042,40190632.995098,41610304.2210473,50850883.1533651,51180183.2340347
"5303",228512,"Sri Lanka",524,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",16943161923.9021,17447855576.3542,19084181007.2571,20263792551.2938,19414322724.1375,13082799672.527
"5304",228514,"Sri Lanka",524,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",354273286.458353,-472107983.11037,2784242547.85479,-1001819983.1682,337278578.630834,-1704205854.3814
"5305",228515,"Sri Lanka",524,"Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",0,0,0,0,0,0
"5306",228522,"Sri Lanka",524,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",23006476594.0696,23441724090.9929,25401229000.0631,26840586808.6915,24561990205.7571,18271335896.7972
"5307",228561,"Sri Lanka",524,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",16500000,14532452.3493868,27089441.4510016,22896711.3894555,26308417.6690113,16858417.6690113
"5308",228562,"Sri Lanka",524,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",787221959.25257,949472251.814025,914611070.770253,783240635.215073,854511573.538142,618872759.801706
"5309",228630,"Sri Lanka",524,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFDAE_BP6_USD",52987324.454558,234655205.222823,67791375.6868732,58156570.5367092,64787685.2383888,10337685.238389
"5310",228631,"Sri Lanka",524,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",52987324.454558,236808136.800703,71791375.6868732,67856570.5367092,77362783.7483888,14542783.748389
"5311",228638,"Sri Lanka",524,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-1836475554.80679,-1717129716.02863,-2298064990.01187,-2784692761.32952,-1820289340.00743,-1054939023.04158
