Country,CURRENT_ACCOUNT_NET,FINANCIAL_LOANS,Net_Lending_Borrowing_Balance,SUPPLEMENTARY_NET,TRANSPORT_SERVICES_NET
Slovak Rep.,-1095874137.4,18472037.679999996,-1142575776.06,-314632394.452,-412193687.0
"Slovenia, Rep. of",-4199259303.4,-8298256.074000025,2493487409.6,2486408912.232,-1234906899.08
Solomon Islands,96102584.43999997,-2965.7055999999866,-11373198.5724,10558699.524199998,23520497.732
South Africa,-1070297772.4,782834367.36,-10958925433.4,-9742873310.82,3804928407.2
Spain,-42562600000.0,10177235924.3,36209836179.2,40707491678.240005,-4933106293.0
Sri Lanka,6019738583.6,0.0,-2091330472.4,-1690957183.0,-637948843.8
St. Kitts and Nevis,26338266.41999998,-1632141.7028999985,-38249052.66600001,-31061172.75464,34892065.858
St. Lucia,-115434058.96,-495867.33384000027,11696403.314399997,12486390.196399998,80026397.41800001
St. Vincent and the Grenadines,126633325.32000001,-98661.57039999888,-65486702.112,-58278974.279999994,40210175.7616
Sudan,4278493972.0,0.0,-4568601488.6,-4568152853.128,488021496.64
Suriname,106170827.8,16368649.03599999,-285485933.42200005,-330760167.13,45480743.182
Sweden,-17660200000.0,9854935412.512,16676429337.8,16507751110.829998,1239343433.0
Switzerland,-64490400000.0,970313240.6,38443315516.6,92168676637.6,-1846317958.2
"São Tomé and Príncipe, Dem. Rep. of",100259282.88,-6832371.516200001,-46432045.225999996,-52752839.023399994,22490508.698388
"Tajikistan, Rep. of",2087417268.8,7750.25,-74017205.33800001,27424242.74999997,154209981.64
"Tanzania, United Rep. of",2131508889.0,30521030.74000001,-2125110025.0,-1837727973.94,-355055718.86
Thailand,-50115400000.0,563167969.708,36234484405.4,49335743525.8,10429802934.2
"Timor-Leste, Dem. Rep. of",1034036249.2380002,1715661.4259999983,-106845040.5,-19095159.162,66489285.025
Togo,692755847.0,30642064.499999993,32180313.520000003,163216613.67000002,66149823.46
Tonga,196637767.358,-121475.1756200002,9958255.911000002,27799227.027,14271268.316
Trinidad and Tobago,-1431744650.2,70220549.116,1070023091.2,162504193.4,359157803.16
Tunisia,4859710694.0,0.0,-3833654538.2,-3393939298.81,363607784.44
Tuvalu,53094658.5128,0.0,17017237.9498,22504054.993800003,7912264.70792
"Türkiye, Rep. of",11432600000.0,408000000.0,-20494600000.0,-25150449466.659996,-14015800000.0
Uganda,2571134199.2,13825661.659999967,-1606829274.04,-1588230755.402,1103718620.6200001
Ukraine,8289600000.0,-8600000.0,-2048200000.0,1472044625.4,-3610200000.0
United Kingdom,46071400000.0,37405391495.4,-121083452963.4,-106950352126.2,-3133783931.4
United States,525032000000.0,38548600000.0,-413349000000.0,-412595907488.0,16318000000.0
Uruguay,-3155973052.0,-119237345.09400003,134702603.058,-446981947.462,573156670.14
"Uzbekistan, Rep. of",5936380570.8,-806386.0,-773444644.5799999,-702023653.12,777801613.0
Vanuatu,143141795.51999998,2297023.1759999976,87309793.0694,160366116.3194,51240544.66
West Bank and Gaza,5992162594.2,37647366.194,-1558982370.8,-1563998501.0740001,324145885.49680007
Zambia,158885303.2,107237203.2,-400213260.36,-695033430.0519999,796690938.618
Zimbabwe,1911383523.0,5000000.0,-322823559.36800003,-340360229.816,219890680.032
