"","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
"174",234,"Antigua and Barbuda",311,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",666205.8148,1564507.889,146487.1481,148153.8148,212169.9259,213754.5444
"183",243,"Argentina",213,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",647416947.4,699468830.9,1019494113,1523156077,1301558886,849865323.1
"187",247,"Argentina",213,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",76622786929,75420138819,89310577214,86821661280,66573932489,52342831895
"191",251,"Argentina",213,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",70022565843,71384640575,74168075514,77143165816,79964482529,64437247306
"197",257,"Argentina",213,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",8792562084,7865724276,9701139407,8944545807,6911140213,3459514195
"205",265,"Argentina",213,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",2329777788,2022379929,1926821958,1935962614,1920954297,1250221586
"206",266,"Argentina",213,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",4484853102,4560994549,5178759701,4911622609,3890376977,2113563619
"212",272,"Armenia, Rep. of",911,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",683994.5675,4715163.743,9518455.394,8252817.787,11328432.68,6345780.454
"213",273,"Armenia, Rep. of",911,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",-18592452.44,112883627.6,97268804.93,177563977.3,237803337.8,231367234.9
"218",278,"Armenia, Rep. of",911,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",360993766.9,367751616.3,433791351.9,555734207.1,648401952.8,413946101.4
"223",283,"Armenia, Rep. of",911,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",163501698.9,188695700.1,231566845.1,256331464.6,275403180.8,232391841.7
"232",292,"Armenia, Rep. of",911,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",3137698940,3564513097,4410411870,4927027295,5794425537,3818190455
"239",299,"Armenia, Rep. of",911,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",4419193791,4470358659,5653962634,6679769678,7603409296,5082296668
"244",307,"Aruba, Kingdom of the Netherlands",314,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",2132591430,2010737226,2038205648,2269860628,2240027486,1644444118
"247",313,"Aruba, Kingdom of the Netherlands",314,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",115153473.2,114974631.3,130498998.6,138836497,124086706.7,51764068.28
"248",315,"Aruba, Kingdom of the Netherlands",314,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",114977756.4,106971136.4,111645331.7,137469704,138551384.3,96020537.81
"255",333,"Aruba, Kingdom of the Netherlands",314,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",2437130636,2344277793,2305572784,2557265559,2561691720,1443955668
"256",335,"Aruba, Kingdom of the Netherlands",314,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",98856251.68,105083057.8,143406346.9,170949225,144048079.8,36135623.88
"260",347,"Aruba, Kingdom of the Netherlands",314,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",13580556.98,15797774.82,17419454.67,16353995.91,24662493.77,23746931.28
"266",363,"Australia",193,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",13351486437,12232520792,12633638821,13803823630,13034925239,9227799014
"267",364,"Australia",193,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",5078180091,5386144003,5820284847,5643754054,5516841793,3206435655
"270",367,"Australia",193,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",2.43106e+11,2.509e+11,2.96577e+11,3.27131e+11,3.42185e+11,3.00713e+11
"271",368,"Australia",193,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",2.70881e+11,2.61288e+11,2.89337e+11,3.11529e+11,2.94718e+11,2.5026e+11
"284",381,"Australia",193,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",24270570720,27875286417,37962550607,44895860089,43185507792,25957673582
"285",382,"Australia",193,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",14285216921,13654903808,14564005521,16913285689,16993109360,14814361493
