Country,CURRENT_ACCOUNT_NET,FINANCIAL_LOANS,Net_Lending_Borrowing_Balance,SUPPLEMENTARY_NET,TRANSPORT_SERVICES_NET
"Korea, Rep. of",-65935000000.0,3812200000.0,75515900000.0,92907400000.0,-1096800000.0
"Kosovo, Rep. of",2499807659.0,51352506.099999994,-520802659.1,-469858932.01,96375106.65
Kuwait,-3401190924.0,2665617101.0,23024475284.0,31291418115.0,2524040174.1
Kyrgyz Rep.,1615431957.0,-253405.29999995232,454017170.6,562695482.0,199596041.0
Lao People's Dem. Rep.,-645249039.0,50123342.399999976,-218351348.5,100872027.10000002,36931185.519999996
Latvia,-340887433.0,-116665527.0,1510485040.0,2023536117.8,-782207410.5
Lebanon,6432412327.0,-1114534456.6,-1324167612.0,-14507137651.0,805871037.9
"Lesotho, Kingdom of",1077968511.9,8412679.544999998,75153841.32,188703671.32,46955078.7142
Lithuania,-5306603679.0,1531205177.9,5152349029.0,4727314796.4,-4200680611.0
Luxembourg,-24259000000.0,15877378355.0,2266947998.0,2268759224.223,-1032996590.0
"Madagascar, Rep. of",1128980140.0,-2783199.300000012,-408491746.4,-179820155.39999998,164632674.9
Malawi,1940107913.0,478414.1999999881,-728520848.6,-1039810345.8,17658418.58
Malaysia,-21604000000.0,318326129.7,14037884121.0,9418697424.0,6533625078.0
Maldives,662128038.0,249474.30000001192,-1327423551.0,-1096370396.5,127078873.18
Mali,1143576815.0,-58495915.0,-159942405.3,200734979.79999998,825522799.9009999
Malta,-2570755887.0,-921786730.2,443798796.1,417086001.63,-209443256.89999998
"Marshall Islands, Rep. of the",44802779.34,0.0,101038811.4,101038913.5766142,19852399.35
Mauritius,2133622470.0,-1833858972.0,-1002712258.0,-1539406946.0,238659192.3
Mexico,-18679000000.0,-1483582089.0,22652023805.0,34649270953.0,7848097191.0
"Moldova, Rep. of",2696328906.0,31040000.0,-952568905.5,-328609508.0,54380000.0
Mongolia,-305323153.0,-6095974.600000024,-571775877.7,215111259.79999995,212138489.80000007
Montenegro,1669085978.0,-10809332.5,-1237017222.0,-774123932.8,-47656068.80000001
Montserrat,27753753.389999997,391481.48149999994,12995746.97,28860561.78,2140891.252
Morocco,8812910272.0,-35530992.0,-1368064318.0,5944383203.0,486336735.0
"Mozambique, Rep. of",4291142314.0,6588661.899999976,-3765211535.0,-3581088723.4,-80080776.80000007
Namibia,1047971530.0,11929097.25999999,372379430.1,402046612.15000004,-47605850.3
Nepal,8923098092.0,0.0,31303320.14,2956541643.13,500585195.65999997
"Netherlands, The",-91782000000.0,-51415881178.0,46785890818.0,46554739749.9,-8759341184.0
New Zealand,-2054344452.0,-1222776398.0,-2429971416.0,-7022194250.0,803197521.0
Nicaragua,609400000.0,200000.0,567500000.0,1470830890.9,268900000.0
Niger,2204290497.0,-105928565.89999998,-1110395606.0,-1103068171.809,667971019.0799999
Nigeria,32241264094.0,1973039539.3,-15985927541.0,-17686557088.0,3284800062.0
"North Macedonia, Republic of",1582531345.0,5328046.0,-347368740.9,-231025546.09999996,-56235335.599999964
Norway,3348000000.0,-3809782524.0,4107263728.0,7956982100.0,-3718590094.0
Oman,-1697486584.0,-395578674.0,-12126866268.0,-14185948255.0,2440626118.0
Pakistan,24764874000.0,0.0,-436874000.0,818788533.0,2147874000.0
Panama,-2177976912.0,-2405441774.9,-178159892.1,5366959471.9,-4043581855.0
Papua New Guinea,-3892732293.0,9773110.526999999,3424712336.0,3864201879.1,287191357.533
Paraguay,-1357203465.0,43690194.899999976,863440433.5,2668837927.5,114206087.0
Peru,-3241151397.0,62011907.70000005,2238820915.0,7689340650.0,1782410499.9
Philippines,19908904994.0,1173969596.0,11641610558.0,27664020287.0,2525048850.0
"Poland, Rep. of",-34319000000.0,-374000000.0,23202000000.0,41939237516.0,-9918000000.0
Portugal,4386760194.0,-434679450.0,-42467039.81,-587659805.4000001,-2111258658.0
Qatar,-11868681318.0,-694505494.0,-3154120879.0,-2641759949.2,4285989011.0
Romania,10874690333.0,274600351.0,-7746213632.0,-1266470304.0,-4670675952.0
Russian Federation,-76653000000.0,4293400000.0,35278970000.0,21524890784.0,-3871040000.0
Rwanda,1648602395.0,20478417.0,-915007975.2,-587070297.9000001,179680611.10000002
Samoa,260271388.79999998,-597413.5040000007,27460646.98,113186074.08,24246387.397
Saudi Arabia,-664000000.0,4530623957.0,-24658808436.0,-71066357682.0,12856404660.0
Senegal,4563895368.0,124864919.0,-2421043926.0,-2483874313.45,683905093.1
"Serbia, Rep. of",4677231022.0,29145351.599999964,-2211305998.0,-1899423663.9,239607827.0
Seychelles,92441576.0,-1965919.7299999967,-152383375.5,-179645235.17000002,30377637.700000018
Sierra Leone,724488374.1,0.0,-235611747.3,-84871567.70000002,103685220.17099999
Singapore,-108710000000.0,-1594066522.0,57315511962.0,132146419939.0,8626035067.0
"Sint Maarten, Kingdom of the Netherlands",233780157.10000002,-5179241.120000005,-240516662.3,-151549869.67000002,-9734809.770000003
Slovak Rep.,-2331953162.0,210611760.0,1476698736.0,2965209308.0,-653017385.0
"Slovenia, Rep. of",-4854746561.0,393000608.64,3583313510.0,3775656989.6,-1356051883.0
Solomon Islands,127426602.60000002,0.0,37265919.03,89272974.81,15365004.450000001
South Africa,-15019579079.0,6073634008.0,6715671872.0,3310210222.0,2517505365.0
Spain,-18687000000.0,1499355720.0,14014555930.0,13754354305.6,-5802953045.0
Sri Lanka,5188536224.0,0.0,-1054939023.0,-2759144877.0,-114439999.0
St. Kitts and Nevis,76302082.90000004,1309996.1000000015,-50337532.71,-39956344.29,29948969.894
St. Lucia,214524425.59999996,2650838.5,-207931504.5,-237722689.89,51914563.250999995
St. Vincent and the Grenadines,190409127.3,-3472850.759999998,-131431266.7,-119641443.84,27003561.195000004
Sudan,5454158298.0,0.0,-5697630404.0,-5671819470.09,573617161.0999999
Suriname,-601336026.0,-909778.7899999991,259846201.3,176375929.13,62447266.64
Sweden,-24775000000.0,-19468213276.0,32650004661.0,32065137139.6,934853032.0
Switzerland,-43945000000.0,-84725036367.0,2835078406.0,125250078406.0,-998002883.0
"São Tomé and Príncipe, Dem. Rep. of",110759703.83000001,141718.0799999982,-40854129.07,-21057009.27,17719016.575900003
"Tajikistan, Rep. of",1716308300.0,279361.90000000596,524763212.0,1778904254.0,238972894.60000002
"Tanzania, United Rep. of",625517360.0,167256294.097,-777663907.5,-1570951814.0,-700973030.4
Thailand,-25933000000.0,1081093359.0,20976586980.0,39332344015.0,14662484302.0
"Timor-Leste, Dem. Rep. of",785314592.8299999,-9502707.07,-295586751.1,-295728773.6334,50342528.989999995
Togo,667629634.0,85763030.39999998,352012441.4,547107982.8,113558021.39999998
Tonga,209905832.57,-677142.5410000002,43563948.24,65253130.39,16869007.200000003
Trinidad and Tobago,344819602.0,-27208850.599999994,-1355947353.0,-1351670872.817,363437098.4
Tunisia,3585780617.0,0.0,-2168393667.0,-805734395.0,539049374.5
Tuvalu,47705435.124,0.0,10694227.01,17512172.28,6973330.5044
"Türkiye, Rep. of",23515000000.0,-2381000000.0,-31924000000.0,-63769809458.0,-8097000000.0
Uganda,4634891496.0,-17718685.0,-3404742714.0,-2682792437.3,1348732937.6
Ukraine,2378000000.0,-18000000.0,5264000000.0,8228662137.0,-3169000000.0
United Kingdom,-8295000000.0,214648246594.0,-91738137871.0,-95962039142.0,-6509847594.0
United States,652880000000.0,170830000000.0,-602754000000.0,-593786479882.0,15481000000.0
Uruguay,-2427786439.0,27278628.0,-377548642.0,1252688749.0,453458477.70000005
"Uzbekistan, Rep. of",8101617548.0,2957575.0,-3002734732.0,-1231298684.0,831800373.3
Vanuatu,288067262.90000004,-15808660.540000003,136625777.0,205889576.07,51951283.61
West Bank and Gaza,5680064638.0,-50939765.599999994,-1471403724.0,-1434168249.13,220159965.84600002
Zambia,-1509749635.0,-5313350.800000012,1041662276.0,599339770.2,468564389.67
Zimbabwe,226006543.0,20000000.0,1395943863.0,1308155926.61,100962850.5
