"","Country","Code","Indicator","Icode","2015","2016","2017","2018","2019","2020"
"144676","Lebanon",446,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",-176842814.45,-5.7e+07,1.61e+08,-88885375.3352137,-1.02e+08,-5e+06
"144684","Lebanon",446,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",-176842814.45,-5.7e+07,1.61e+08,-8.9e+07,-1.02e+08,-5e+06
"144851","Lesotho, Kingdom of",666,"Capital Account, Total, Net, US Dollars","BK_BP6_USD",37395307.3083047,48792642.0009365,39383827.7276769,36554102.0634977,86046936.3723819,93365337.4347017
"144855","Lesotho, Kingdom of",666,"Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",37395307.3083047,48792642.0009365,39383827.7276769,36554102.0634977,86046936.3723819,93365337.4347017
"144879","Lesotho, Kingdom of",666,"Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",34002.1087405402,12191479.7180487,28960.0444100583,47869.3734446042,38800.5396154607,89482.2602647969
"144882","Lesotho, Kingdom of",666,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",73345958.3244713,8388169.98298615,700434.851676144,-11969696.2366575,77579979.1937348,11262100.7944299
"144887","Lesotho, Kingdom of",666,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-62477681.3501598,1013984.6725766,9652955.53746589,22448736.3687785,-68030629.95384,-2849421.24458925
"144897","Lesotho, Kingdom of",666,"Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",37395307.3083047,48792642.0009365,39383827.7276769,36554102.0634977,86046936.3723819,93365337.4347017
"144926","Lesotho, Kingdom of",666,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",125707005.224048,108749225.585411,119751613.14077,122005303.830595,110451739.279654,97304545.5705319
"144948","Lesotho, Kingdom of",666,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-40243907.3563711,-122107955.82764,-103819173.079816,-19056816.5357576,13738931.2913026,75153841.3161663
"144965","Lesotho, Kingdom of",666,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-40243907.3563686,-122107955.827639,-103819173.079816,-19056816.535756,13738931.2913037,75153841.3161656
"144973","Lesotho, Kingdom of",666,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",1072281.70215597,807630.369035828,635142.272426881,608856.492145364,593240.67903987,499989.935778009
"144974","Lesotho, Kingdom of",666,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",56693670.0854997,51173403.5613132,57924862.8000594,61514733.6238572,55538243.3800735,47455068.6480616
"144982","Lesotho, Kingdom of",666,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",56627607.4216091,11375350.6363006,7343483.76064616,-69919.7158914423,91606204.1731849,-17710333.0081471
"144985","Lesotho, Kingdom of",666,"Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",10868276.9743115,9402154.65556275,10353390.389142,10479040.132121,9549349.23989486,8412679.54984063
"144990","Lesotho, Kingdom of",666,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",112240313.604552,-163218261.030627,-202236850.679511,66852667.9068642,57653520.1895268,113549829.999598
"144992","Lesotho, Kingdom of",666,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",974292120.991809,940488264.160455,1061714987.22255,1253535692.52089,1092702862.31118,902123159.129209
"144993","Lesotho, Kingdom of",666,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",2048854080.76625,2000635848.40222,2280881897.3931,2424632440.84947,2229626665.05281,1980091670.9865
"145001","Lesotho, Kingdom of",666,"Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",37395307.3083047,48792642.0009365,39383827.7276769,36554102.0634977,86046936.3723819,93365337.4347017
"145011","Lesotho, Kingdom of",666,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",56627607.4216091,11375350.6363006,7343483.76064616,-69919.7158914423,91606204.1731849,-17710333.0081471
"145068","Lesotho, Kingdom of",666,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",153635627.382692,114615919.786382,76820217.1336112,79760948.8492505,71700358.0864947,59862738.8194419
"145468","Lesotho, Kingdom of",666,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",-50432.8397879884,-43629.487960848,-48043.5748916103,-48626.6363439489,-44312.5254751502,-6413643.45197846
