"","Index","Country","CountryCode","Indicator","IndicatorCode","2015","2016","2017","2018","2019","2020","S.No"
"43",43,NA,"914","Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",3104045580.12051,3439878229.62969,4143794703.49414,4784712029.25558,4822385625.67256,3460812843.45375,197
"44",44,NA,"914","Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",5070259616.19859,5441410775.47024,6122452299.7936,6854286781.72701,6925814672.05674,5671285653.1709,197
"45",45,NA,"914","Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-840333044.744464,-828274639.95956,-842871953.913502,-894368183.921613,-1133782336.59469,-1148870305.54196,197
"46",46,NA,"914","Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",121819195.833824,216942440.413807,-58890213.4348812,-234213064.887268,-155337305.215096,50726928.4816957,197
"47",47,NA,"914","Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",53587033.7373649,-20644025.2545829,1463206.26004995,287795433.715935,-74605536.034902,341161078.311483,197
"48",48,NA,"914","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",336659381.36849,2594764.3827547,225865230.704217,-34934293.9225292,-33894778.5367961,-44058297.448969,197
"49",49,NA,"914","Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",174953675.139171,202426984.059313,268306968.242644,305754698.028388,272422604.93912,203362731.996194,197
"50",50,NA,"914","Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",191118745.392381,234311289.60345,224458295.824033,252377847.794322,250193796.253785,205847548.154061,197
"51",51,NA,"914","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars","BFOLNLO_L_BP6_USD",-13780480.2647291,-32956971.9120295,-87877385.697377,91419177.622531,14378453.1063312,110944449.13622,197
"52",52,NA,"914","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",-13780480.2647291,-32956971.9120295,-87877385.697377,92616536.4263772,14367043.891775,110932974.948029,197
"53",53,NA,"914","Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-840332836.025571,-828308264.889164,-842859455.285888,-894344262.763371,-1133793573.59469,-1148904937.76167,197
"54",54,NA,"914","Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",112042830.141404,142384461.732337,159378739.585678,163185105.778022,189896564.623915,175580046.781933,197
"55",55,NA,"914","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",112262415.035166,-3418540.55006894,-49745631.0545551,-66488396.325183,-50558649.0303029,-47417748.0977616,197
"56",56,NA,"914","Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",251523832.087737,214450676.019101,298757212.601133,285079117.937363,274947946.908276,341258789.682634,197
"57",57,NA,"914","Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",17762635.0428928,39381652.8239649,36354288.5003543,9449845.20970698,17560576.4507574,19806361.3050208,197
"58",58,NA,"914","Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",169380736.124001,146802211.37893,306681018.395426,343948148.404212,518409739.692635,460973409.981022,197
"59",59,NA,"914","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",443261078.536694,162867753.126628,303563462.181138,-40367417.4225292,-53428096.4818717,109718842.504965,197
"60",60,NA,"914","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",-200681008.112941,221280378.067268,-105270860.573375,207065043.846431,85926246.835496,275008565.810737,197
"61",61,NA,"914","Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",677430653.481054,48006574.8243134,186039517.005445,419138872.683826,-88102473.4100683,705493615.900286,197
"62",62,NA,"914","Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",0,27616613.860401,0,0,0,0,197
"63",63,"Algeria","612","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",-141302587.337253,-11567771.5255319,-771522.252096579,25772974.8496407,17273854.3308071,75662556.1806286,4
"64",64,NA,"612","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFDAE_BP6_USD",106656783.779633,52183662.3206993,20149043.8123602,861188400.399319,64794342.7476206,39039435.9138654,197
"65",65,NA,"612","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",101122294.423741,46540881.7236583,-8566424.89000485,846211528.098013,31148435.4454615,14605376.0751949,197
"66",66,NA,"612","Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-27347179851.0128,-26271624595.5192,-21754881841.5121,-15841502837.2375,-16983944438.685,-16503641824.6507,197
"67",67,NA,"612","Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",-105263633.964614,-285151115.118491,14151464.3401049,70982995.1466171,199623907.617659,145703992.843011,197
"68",68,NA,"612","Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-27037461501.8531,-26203434864.1884,-22066800235.4043,-16905486277.9375,-16954736634.9108,-18228376625.5621,197
"69",69,NA,"612","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars","BFDAEO_BP6_USD",106656783.779633,52183662.3206993,20149043.8123602,861188400.399319,64794342.7476206,39039435.9138654,197
"70",70,NA,"612","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",-48417536.3376328,759107773.891695,-37081330.9541837,-34644871.4152667,-32564443.7479777,-23825519.1480943,197
"71",71,NA,"612","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars","BFOLNLO_L_BP6_USD",-228539396.131527,-418921628.887138,-87116811.5796949,-69886247.1670232,-70958534.564874,-63943521.498186,197
"72",72,NA,"612","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",-48417536.3376328,759107773.891695,-37081330.9541837,-34644871.4152667,-32564443.7479777,-23825519.1480943,197
"73",73,NA,"612","Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-54127448.9074686,-612980691.519314,-161094676.515973,-149957556.8014,-1094479037.40013,-631161707.061116,197
"74",74,NA,"612","Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-27037461501.853,-26203434864.1884,-22066800235.4042,-16905486277.9376,-16954736634.9108,-18228363586.9246,197
"75",75,NA,"612","Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",-331496306.618408,-274807125.646088,-286029147.800314,-253880761.674915,-92581359.6016978,-18053296.498245,197
"76",76,NA,"612","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",-228539396.131527,-418921628.887138,-87116811.5796949,-69886247.1670232,-70958534.564874,-63943521.498186,197
"77",77,NA,"612","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",-277368857.710939,338173565.873226,-124934471.284341,-103923204.873516,1001897677.79844,613108410.562871,197
"78",78,NA,"612","Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",454472.297123639,922413.117255952,1123579.07306783,434206.283042403,267726.504105967,1364477.93905471,197
"79",79,NA,"612","Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",280820.719818746,310940.703441323,405790.514704093,277963.430214197,710332.62693514,42690768.7299735,197
"80",80,NA,"612","Capital Account, Total, Net, US Dollars","BK_BP6_USD",173651.577304893,611472.413814629,717788.558363734,156242.852828206,-442606.122829173,-41326290.7909188,197
"81",81,NA,"612","Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",37905326615.2648,32746852186.7272,37680842571.7904,44387318895.8475,38551346600.0539,24901914032.5803,197
"82",82,NA,"612","Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",63290234977.4492,60196342367.2716,60083478506.2315,60088713450.9803,54258989925.2204,42347048720.3905,197
"83",83,NA,"612","Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",454472.297123639,917740.587831562,1123579.07306783,434206.283042403,140826.060432988,314133.354199218,197
"84",84,NA,"612","Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",451548.682091231,917740.587831562,1122830.74104297,434206.283042403,139846.798645491,314133.354199218,197
"85",85,NA,"612","Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",680634056.963759,672782884.811981,708954618.460222,715623455.7547,646654168.81636,537711115.361422,197
"86",86,NA,"612","Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",3690355800.56474,3613016017.87053,3474445354.65201,3612430380.74402,3430500755.99846,2580321198.03657,197
"87",87,NA,"612","Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",72680213.5934218,384745306.372482,712244160.283447,36769280.5364521,121306591.489809,136580962.329775,197
"88",88,NA,"612","Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",6478575655.66993,3970671458.1273,4819901399.03365,5689406512.37611,5214533911.03061,3763432274.10175,197
"89",89,"Andorra, Principality of","171","Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",NA,NA,NA,NA,-62073.7756783517,-56431.3066928708,5
"90",90,NA,"171","Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",NA,NA,NA,NA,NA,NA,197
"91",91,NA,"171","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",NA,NA,NA,NA,101915270.372726,132967336.398514,197
"92",92,NA,"171","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",NA,NA,NA,NA,NA,NA,197
"93",93,NA,"171","Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",NA,NA,NA,NA,568541366.766772,449143407.765242,197
"94",94,NA,"171","Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",NA,NA,NA,NA,NA,NA,197
"95",95,NA,"171","Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",NA,NA,NA,NA,2334900069.26016,1841841695.9064,197
"96",96,NA,"171","Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",NA,NA,NA,NA,NA,NA,197
"97",97,NA,"171","Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",NA,NA,NA,NA,94763615.9546593,53240361.2049329,197
"98",98,NA,"171","Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",NA,NA,NA,NA,NA,NA,197
"99",99,NA,"171","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",NA,NA,NA,NA,-214028418.138282,405902973.90201,197
"100",100,NA,"171","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",NA,NA,NA,NA,NA,NA,197
"101",101,NA,"171","Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",NA,NA,NA,NA,65374899.8203639,60221975.6584721,197
"102",102,NA,"171","Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",NA,NA,NA,NA,NA,NA,197
"103",103,NA,"171","Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",NA,NA,NA,NA,346198.785682784,333089.816514496,197
"104",104,NA,"171","Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",NA,NA,NA,NA,NA,NA,197
"105",105,NA,"171","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",NA,NA,NA,NA,296167836.094998,-621931414.731802,197
"106",106,NA,"171","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",NA,NA,NA,NA,NA,NA,197
"107",107,NA,"171","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars","BFPA_BP6_USD",NA,NA,NA,NA,82139417.9567152,-216028440.829791,197
"108",108,NA,"171","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars","BFPA_BP6_USD",NA,NA,NA,NA,NA,NA,197
"109",109,NA,"171","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars","BFDAEO_BP6_USD",NA,NA,NA,NA,73323091.7779306,111001848.368811,197
"110",110,NA,"171","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars","BFDAEO_BP6_USD",NA,NA,NA,NA,NA,NA,197
"111",111,NA,"171","Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",NA,NA,NA,NA,55360541.877522,42686355.1328308,197
"112",112,NA,"171","Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",NA,NA,NA,NA,NA,NA,197
"113",113,NA,"171","Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",NA,NA,NA,NA,38844127.4014446,24343410.6253785,197
"114",114,NA,"171","Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",NA,NA,NA,NA,NA,NA,197
"115",115,NA,"171","Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",NA,NA,NA,NA,62073.7756783517,58976.4940316227,197
"116",116,NA,"171","Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",NA,NA,NA,NA,NA,NA,197
"117",117,NA,"171","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFDAE_BP6_USD",NA,NA,NA,NA,100613922.92192,140920246.838233,197
"118",118,NA,"171","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFDAE_BP6_USD",NA,NA,NA,NA,NA,NA,197
"119",119,NA,"171","Capital Account, Total, Net, US Dollars","BK_BP6_USD",NA,NA,NA,NA,284125.010004432,274113.322482874,197
"120",120,NA,"171","Capital Account, Total, Net, US Dollars","BK_BP6_USD",NA,NA,NA,NA,NA,NA,197
"121",121,NA,"171","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",NA,NA,NA,NA,-464596155.298383,20999928.4608101,197
"122",122,NA,"171","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",NA,NA,NA,NA,NA,NA,197
"123",123,NA,"171","Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",NA,NA,NA,NA,-11618302.1626564,17636762.824016,197
"124",124,NA,"171","Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",NA,NA,NA,NA,NA,NA,197
"125",125,NA,"171","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",NA,NA,NA,NA,-464596155.298383,137999529.885325,197
"126",126,NA,"171","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",NA,NA,NA,NA,NA,NA,197
"127",127,NA,"171","Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",NA,NA,NA,NA,2032100364.39043,1727289784.68077,197
"128",128,NA,"171","Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",NA,NA,NA,NA,NA,NA,197
"129",129,NA,"171","Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",NA,NA,NA,NA,73734477.0448611,-84480099.2520462,197
"130",130,NA,"171","Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",NA,NA,NA,NA,NA,NA,197
"131",131,NA,"171","Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",NA,NA,NA,NA,538330632.343243,-222479629.13737,197
"132",132,NA,"171","Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",NA,NA,NA,NA,NA,NA,197
"133",133,NA,"171","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",NA,NA,NA,NA,1951750.86789353,5084196.11499794,197
"134",134,NA,"171","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",NA,NA,NA,NA,NA,NA,197
"135",135,NA,"171","Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",NA,NA,NA,NA,568541366.766772,449143407.765238,197
"136",136,NA,"171","Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",NA,NA,NA,NA,NA,NA,197
