"X.1","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
42,202,"Anguilla",312,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-98202195.36,-80628265.8,-8395476.874,-217275376.7,-164061423.9,-81803098.5
43,203,"Anguilla",312,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",859194.4374,7374480.741,20848667.41,-10855370.37,-6804074.074,-5899259.259
44,205,"Anguilla",312,"Supplementary_Current_Capital","BTCC_BP6_USD",-98202195.36,-80628265.8,-8395476.874,-217275376.7,-164061423.9,-81803098.5
45,208,"Anguilla",312,"Current_Account_Debit","BMGS_BP6_USD",260983456.5,247092951.9,237837836,350375397.1,337427812.8,187449708.9
46,213,"Antigua and Barbuda",311,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",10267838.49,-35229392.71,-2340436.17,13960568.52,-5518715.1,27796658.21
47,214,"Antigua and Barbuda",311,"Supplementary_Current_Capital","BTCC_BP6_USD",76507264.8,-7533564.15,-84442756.06,-210361116,-89437564.25,-191144005.4
48,215,"Antigua and Barbuda",311,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",76507264.8,-7533564.15,-84442756.06,-210361116,-89437564.25,-191144005.4
49,216,"Antigua and Barbuda",311,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",58667850.84,-25613767.6,-16456524.26,15024336.38,-49611458.48,-57328230.78
50,218,"Antigua and Barbuda",311,"Current_Account_Credit","BXGS_BP6_USD",1016366368,1043082266,988693922.5,1037965892,1194092316,591276100.6
51,219,"Antigua and Barbuda",311,"Transport_Services_Credit","BXSTR_BP6_USD",132143366.6,135178548.5,124878347.7,126200355.8,138100974.1,35897190.88
52,220,"Antigua and Barbuda",311,"Transport_Services_Debit","BMSTR_BP6_USD",88054699.37,90578901.76,92929399.6,109103861,109918616.2,61039864.04
53,227,"Antigua and Barbuda",311,"Current_Account_Debit","BMGS_BP6_USD",853391541.4,923580934.6,970767344.5,1132905851,1180428569,739746512.6
