,Country,CURRENT_ACCOUNT_NET,FINANCIAL_LOANS,Net_Lending_Borrowing_Balance,SUPPLEMENTARY_NET,TRANSPORT_SERVICES_NET
109,"Netherlands, The",-82572200000,2641829756,62333798032,61426012834,-10959161391
110,New Zealand,-1145294105,357303153,-5451751119,-5055107208,904015441
111,Nicaragua,1592620000,-19160000,-373720000,-362954405,387240000
112,Niger,1671808750,55769475,-958973740,-899444079,573615266
113,Nigeria,13605674164,598860737,-639944876,200731185,4671009127
114,"North Macedonia, Republic of",1653579150,-32446,-163661993,49296821,-54709319
115,Norway,-14588800000,8449683646,22756355567,22249261384,-6952720767
116,Oman,-5204722453,22938882,-8163450799,-10985428317,2343998930
117,Pakistan,29003086800,0,-10406286800,-10064536272,2717286800
118,Panama,229238964,-792507502,-4462370968,-4431531525,-4247519786
119,Papua New Guinea,-4064288660,2001304,3041924131,3146392190,345733258
120,Paraguay,-1280955574,2628133,688578916,899147810,213165091
121,Peru,-923792752,111409409,-3720452209,-2747291579,1357451044
122,Philippines,30703733335,576765859,-1518525956,-267155263,2365944907
123,"Poland, Rep. of",-14583600000,876200000,2298200000,8978001128,-7715000000
124,Portugal,-2744904399,471125361,3807959918,4150193316,-3268649752
125,Qatar,-25413408791,755769231,6081758242,5326100269,2553956044
126,Romania,5427032158,47149058,-3312227089,-3159249452,-4419187559
127,Russian Federation,-111008200000,-368238000,60619578000,88070140415,-5478154000
128,Rwanda,1395321070,-200114,-862236990,-780099923,310188961
129,Samoa,132634532,-4605359,33344553,48208590,21408953
130,Saudi Arabia,-36743400000,3806727040,6445954706,-39993338036,12970336303
131,Senegal,2854270189,152781926,-1095884019,-867908463,669220807
132,"Serbia, Rep. of",3817869279,78547665,-2206753507,-1489445541,3019379
133,Seychelles,36470686,-156493899,-39529641,-15403214,2562741
134,Sierra Leone,974919359,0,-575905325,-649996139,134136010
135,Singapore,-96295400000,18210186072,59328695643,65516984131,1432992079
136,"Sint Maarten, Kingdom of the Netherlands",102935032,3912635,-5028839,-9306846,-4095576
137,Slovak Rep.,-1095874137,18472038,-1142575776,-314632394,-412193687
138,"Slovenia, Rep. of",-4199259303,-8298256,2493487410,2486408912,-1234906899
139,Solomon Islands,96102584,-2966,-11373199,10558700,23520498
140,South Africa,-1070297772,782834367,-10958925433,-9742873311,3804928407
141,Spain,-42562600000,10177235924,36209836179,40707491678,-4933106293
142,Sri Lanka,6019738584,0,-2091330472,-1690957183,-637948844
143,St. Kitts and Nevis,26338266,-1632142,-38249053,-31061173,34892066
144,St. Lucia,-115434059,-495867,11696403,12486390,80026397
